obs_id,src_id,num_obs,sepn,name,src_n,ra,dec,livetime,significance,likelihood,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_elapse,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u
PL_0_obs_0,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,35796.9,107.91,21810.19,1.014e-07,0.0,1.979e-07,1.304e-16,0.0,2.608e-16,False,1872.97,1898.61,26.04,,,36256.0,8.556e-05,8.198e-05,8.89e-05,5.704e-13,5.466e-13,5.928e-13,0.0,0.0,2.326e-06,0.024432,24.71,24.43,3.08,1.02,0.0,5.613e-13,5.383e-13,5.83e-13,0.0,0.0,1.3050000000000001e-15,2.755e-15,1.836e-15,3.625e-15,6.167e-05,5.906e-05,6.411e-05,7.255e-07,4.836e-07,9.546e-07,0.9769,0.9688,0.9825,0.9969,0.9938,0.9988,0.7533,0.5315,0.9238,4.541e-13,3.566e-13,4.955e-13,1.536,1.21,1.89,,823.6,703.9,966.0,,0.00025180000000000005,0.000143,0.0004678,,1.337,4.609e-13,3.964e-13,4.915e-13,1.5730000000000002,1.425,1.749,,547.5,474.5,634.3,,1.833e-05,1.281e-05,2.653e-05,,1.324,4.799e-13,4.236e-13,5.362e-13,13.58,8.964,605.4,,846.1,694.1,908.4,,0.0003383,0.0003162,0.0003677,,1.34,,,,10.0,1.0,1.0,1.0,0.03152,0.023569999999999997,0.004252000000000001,0.1242,10.0,1.0,1.0,1.0,0.031160000000000004,0.02317,0.004249,0.1241,2.0,0.8809999999999999,0.9940000000000001,0.998,0.00020380000000000002,0.000383,0.0001705,0.0007729,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_1,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,18202.1,107.91,21810.19,0.0,0.0,2.083e-07,0.0,0.0,2.553e-16,False,151.37,197.69,,,,20069.599,1.738e-05,1.503e-05,1.974e-05,1.058e-13,8.935e-14,1.223e-13,0.0,0.0,3.662e-06,0.006451600000000001,7.38,6.51,1.12,0.0,0.0,1.175e-13,1.015e-13,1.335e-13,,,,7.417999999999999e-16,1.141e-16,1.369e-15,1.361e-05,1.152e-05,1.57e-05,2.307e-07,1.922e-08,4.325e-07,0.9669,0.9338,0.99,0.9994,0.9713,1.0,0.9994,0.1355,1.0,1.334e-13,7.461e-14,1.712e-13,4.099,3.162,4.897,,1316.0,1038.0,1609.0,,0.006016,0.001292,0.035210000000000005,,0.992,1.35e-13,6.331e-14,1.695e-13,0.8441,0.7061,1.015,,794.5,613.3,1021.0,,0.00010329999999999999,3.874e-05,0.00031439999999999994,,1.1909999999999998,1.278e-13,4.342e-14,1.703e-13,1.9769999999999999,1.393,3.1210000000000004,,1046.0,851.7,1280.0,,0.000719,0.00031210000000000005,0.0018989999999999999,,1.074,,,,0.0,0.083,0.88,0.563,6.398e-05,0.01154,0.01146,0.01162,0.0,0.08,0.851,0.486,5.894e-05,0.01139,0.01132,0.01146,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_2,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,19827.7,107.91,21810.19,2.651e-07,0.0,5.301e-07,1.847e-15,8.394e-17,3.609e-15,False,71.48,70.61,,,,20090.236,1.937e-05,1.682e-05,2.176e-05,9.583e-14,8.278e-14,1.089e-13,0.0,0.0,3.428e-05,0.005710100000000001,7.85,7.76,1.38,1.0,0.0,9.642000000000001e-14,8.356e-14,1.093e-13,0.0,0.0,1.922e-14,1.003e-15,2.735e-16,1.732e-15,1.357e-05,1.176e-05,1.525e-05,3.175e-07,8.660000000000001e-08,5.485e-07,0.9544,0.9188,0.9825,0.9619,0.92,0.9925,-0.0425,-0.4953,0.4578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.066,0.45299999999999996,0.706,3.154e-05,0.006023,0.005985,0.006065999999999999,0.0,0.07400000000000001,0.613,0.792,4.104e-05,0.005824,0.005762,0.0058649999999999996,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_3,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,19819.3,107.91,21810.19,0.0,0.0,3.154e-07,0.0,0.0,4.295e-16,False,51.48,46.87,,,,20087.983,1.363e-05,1.14e-05,1.573e-05,7.765e-14,6.471e-14,9.06e-14,0.0,0.0,3.062e-05,0.0041981,6.3,6.31,1.16,0.0,0.0,7.693e-14,6.425e-14,8.881e-14,0.0,0.0,1.7169999999999998e-14,5.607e-16,4.486e-17,1.077e-15,9.725e-06,8.135e-06,1.122e-05,2.24e-07,3.054e-08,4.174e-07,0.9569,0.9138,0.9875,0.9994,0.9363,1.0,0.3086,-0.1493,0.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.136,0.631,0.345,6.921e-05,0.004635,0.004557,0.004726,0.0,0.111,0.727,0.47200000000000003,6.442e-05,0.004531,0.004464,0.004626,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_4,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,36341.0,107.91,21810.19,0.0,0.0,1.848e-07,2.6499999999999997e-16,0.0,5.415e-16,False,172.03,256.23,3.27,,,40069.598,1.771e-05,1.604e-05,1.938e-05,1.317e-13,1.186e-13,1.448e-13,0.0,0.0,3.316e-06,0.006309,10.61,9.52,1.51,0.0,0.0,1.408e-13,1.28e-13,1.535e-13,0.0,0.0,1.063e-16,6.66e-16,2.148e-16,1.096e-15,1.407e-05,1.259e-05,1.555e-05,2.378e-07,7.671e-08,3.9119999999999996e-07,0.9669,0.9438,0.9863,0.9994,0.975,1.0,0.8982,0.1618,1.0,1.367e-13,8.569e-14,1.639e-13,2.6039999999999996,2.02,3.2289999999999996,,925.2,771.5,1100.0,,0.0004578,0.0001763,0.00126,,1.587,1.359e-13,8.591e-14,1.584e-13,1.13,0.9751,1.329,,587.2,484.8,707.2,,2.089e-05,1.077e-05,4.143e-05,,1.7819999999999998,1.468e-13,7.329e-14,2.402e-13,4.45,2.9010000000000002,9.385,,806.0,689.0,931.0,,0.0001833,0.00011599999999999999,0.00030589999999999995,,1.6380000000000001,,,,0.0,0.159,0.963,0.895,0.0001751,0.01055,0.01029,0.01078,0.0,0.205,0.9740000000000001,0.9520000000000001,0.0002537,0.01035,0.009975,0.01066,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_5,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,16840.2,107.91,21810.19,3.557e-07,6.467000000000001e-08,6.304999999999999e-07,6.317999999999998e-16,1.149e-16,1.149e-15,False,371.17,380.3,,,,18567.999,2.939e-05,2.631e-05,3.247e-05,1.765e-13,1.557e-13,1.974e-13,0.0,0.0,7.099e-06,0.010844,9.54,8.81,1.46,1.26,0.0,1.867e-13,1.665e-13,2.07e-13,0.0,0.0,1.025e-15,8.316e-16,2.294e-16,1.434e-15,2.404e-05,2.131e-05,2.677e-05,3.779e-07,1.134e-07,6.299e-07,0.9694,0.9475,0.9875,0.9706,0.945,0.99,-0.0375,-0.4616,0.4191,2.773e-13,1.74e-13,3.225e-13,4.812,4.572,4.88,,1557.0,1464.0,1629.0,,0.03756,0.025269999999999997,,,1.147,2.705e-13,1.664e-13,3.131e-13,0.6686,0.605,0.7375,,1162.0,986.9,1377.0,,0.0009936,0.0004868,0.002216,,0.977,2.696e-13,1.571e-13,3.145e-13,1.194,1.008,1.425,,1462.0,1273.0,1691.0,,0.006915,0.0035310000000000003,0.01485,,1.006,,,,0.0,0.048,0.33799999999999997,0.299,3.504e-05,0.02041,0.02036,0.02046,0.0,0.06,0.42200000000000004,0.436,6.237e-05,0.01998,0.01989,0.020059999999999998,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_7,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,18202.8,107.91,21810.19,0.0,0.0,1.838e-07,0.0,0.0,2.921e-16,False,113.08,130.86,4.19,,,20070.399,2.205e-05,1.949e-05,2.462e-05,1.857e-13,1.642e-13,2.072e-13,0.0,0.0,3.921e-06,0.008306200000000001,8.61,7.96,1.51,0.0,0.0,1.922e-13,1.714e-13,2.131e-13,,,,1.1689999999999999e-15,3.7710000000000005e-16,1.923e-15,1.798e-05,1.573e-05,2.024e-05,4.2880000000000003e-07,1.383e-07,7.055e-07,0.9544,0.9213,0.98,0.9994,0.98,1.0,0.9994,0.4241,1.0,1.692e-13,7.899e-14,2.2e-13,2.45,1.625,3.4339999999999997,,981.3,712.9,1341.0,,0.0005183,0.00012749999999999998,0.0027600000000000003,,0.773,1.816e-13,9.841000000000001e-14,2.192e-13,1.206,0.9845,1.508,,598.6,436.9,814.2,,2.235e-05,9.254e-06,5.864e-05,,0.86,2.014e-13,7.823e-14,3.387e-13,5.191,2.716,21.23,,855.7,661.1,1105.0,,0.00023050000000000002,0.0001369,0.0005181,,0.792,,,,0.0,0.153,0.851,0.99,0.0003838,0.01261,0.01222,0.01355,0.0,0.138,0.845,0.986,0.00024409999999999997,0.01229,0.01209,0.01281,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_8,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,17827.6,107.91,21810.19,0.0,0.0,3.501e-07,0.0,0.0,4.768e-16,False,57.11,61.51,,,,18066.774,1.944e-05,1.676e-05,2.195e-05,1.155e-13,9.937000000000001e-14,1.306e-13,0.0,0.0,2.534e-05,0.0057903,7.49,7.37,1.35,0.0,0.0,1.134e-13,9.77e-14,1.282e-13,0.0,0.0,1.315e-14,1.1480000000000001e-15,3.8280000000000003e-16,1.914e-15,1.363e-05,1.172e-05,1.542e-05,3.379e-07,8.157e-08,5.825999999999999e-07,0.9532,0.9163,0.985,0.9994,0.9513,1.0,0.9994,0.0069,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.151,0.8390000000000001,0.818,0.0003627,0.006034,0.005748,0.008287000000000001,0.0,0.233,0.778,0.7979999999999999,0.0005482,0.005868,0.0054399999999999995,0.009309,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_9,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,78931.9,107.91,21810.19,6.251000000000001e-08,0.0,1.25e-07,1.538e-16,0.0,3.2689999999999995e-16,False,1333.66,1267.65,7.6,,,79976.901,4.019e-05,3.846e-05,4.182e-05,2.636e-13,2.524e-13,2.741e-13,0.0,0.0,4.669e-06,0.011221,23.97,23.76,2.67,1.0,0.0,2.603e-13,2.492e-13,2.707e-13,0.0,0.0,2.618e-15,8.211000000000001e-16,5.096e-16,1.133e-15,2.87e-05,2.746e-05,2.988e-05,2.988e-07,1.839e-07,4.0799999999999995e-07,0.9794,0.9713,0.9863,0.9956,0.9913,0.9988,0.6359,0.3329,0.8776,2.118e-13,1.658e-13,2.303e-13,1.879,1.541,2.2430000000000003,,907.1,787.4,1048.0,,0.00021030000000000002,0.0001177,0.0003944,,0.812,2.138e-13,1.782e-13,2.286e-13,1.4080000000000001,1.2819999999999998,1.556,,600.0,525.0,688.6,,1.281e-05,8.849e-06,1.871e-05,,0.8540000000000001,2.157e-13,1.754e-13,2.317e-13,10.25,6.252000000000001,24.22,,846.1,753.6,951.6,,0.0001688,0.0001484,0.0002171,,0.815,,,,10.0,1.0,1.0,1.0,0.0174,0.010759999999999999,0.004107,0.09522,10.0,1.0,1.0,1.0,0.01737,0.01061,0.004105,0.09493,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
PL_0_obs_10,PL_0,71,0.003073585, 2CXO J174540.0-290028,PSR_J1745-2900_,266.4168,-29.0078,112545.7,107.91,21810.19,1.021e-07,2.382e-08,1.7699999999999996e-07,1.069e-16,1.188e-17,2.019e-16,False,1254.07,1375.15,4.53,,,114054.498,3.018e-05,2.892e-05,3.136e-05,1.939e-13,1.859e-13,2.019e-13,2.446e-06,1.0189999999999999e-07,4.79e-06,0.0084562,24.77,24.12,3.18,1.33,1.04,1.916e-13,1.837e-13,1.994e-13,0.0,0.0,4.82e-16,8.704000000000001e-16,5.803e-16,1.1439999999999999e-15,2.154e-05,2.065e-05,2.244e-05,2.666e-07,1.827e-07,3.5060000000000003e-07,0.9756,0.9675,0.9825,0.9906,0.9838,0.9963,0.3948,0.0881,0.6752,1.572e-13,1.307e-13,1.686e-13,1.5930000000000002,1.305,1.8969999999999998,,700.3,617.0,795.3,,8.579e-05,5.317e-05,0.0001422,,0.971,1.559e-13,1.366e-13,1.672e-13,1.524,1.39,1.683,,455.0,402.4,515.4,,6.448e-06,4.634e-06,8.978e-06,,1.056,1.612e-13,1.447e-13,1.78e-13,13.58,9.464,195.2,,694.9,591.2,742.2,,0.00010369999999999999,9.485e-05,0.0001121,,0.982,,,,10.0,1.0,1.0,1.0,0.01098,0.009011,0.0017920000000000002,0.08659,10.0,1.0,1.0,1.0,0.0109,0.008841,0.001791,0.08585,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.000185,8.0,1.0,0.0001654,6.0,1.0,1.227e-06,0.0,0.0,5.070000000000001e-07,,,
